cow_id,weight_kg
1,450
2,350
3,275
4,350
5,140
6,220
7,400
8,400
9,100
10,700
11,140
12,170
13,70
14,120
15,300
16,200
17,600
18,950
19,680
20,400
21,1040
22,920
23,500
24,65
25,1300
26,1100
27,130
28,130
29,125
30,115
31,130
32,150
33,90
34,100
35,200
36,120
37,180
38,110
39,130
40,80
41,50
42,45
43,40
44,70
45,70
46,110
47,130
48,200
49,250
50,230
51,280
52,400
53,130
54,200
55,230
56,600
57,600
58,170
59,85
60,140
61,120
62,120
63,120
64,120
65,150
66,100
67,80
68,110
69,600
70,170
71,106
72,90
